KEY,DESCRIPTION,en,zh,hi,es,fr,ar,bn,pt,ru,id,ur,de,ja,sw,mr,te,ta,tr,vi,it,ko,gu,fa,pl,uk,ro,nl,sv,da,no,fi,he,th,my,km,lo,ka,hy,az,kk,ky,uz,tg,mn,bo,ne,si,ml,kn,pa,or,as,dv,ps,sd,ks,cs,sk,sl,hr,sr,bs,mk,bg,sq,el,mt,cy,ga,gd,gv,br,co,ca,gl,eu,is,fo,lb,li,fy,af,et,lv,lt,ha,yo,ig,ff,am,om,ti,so,zu,xh,st,tn,ss,nr,nd,ve,ts,sn,ny,rw,rn,lg,mg,wo,ms,tl,jv,su,qu,gn,ay,sm,to,ty,mi,fj,bi,eo,ia,ie,io,vo,la,cu,pi,sa,aa,ab,ae,ak,an,av,ba,be,bh,bi.1,bm,bo.1,ce,ch,cr,cv,dz,ee,eo.1,es.1,et.1,eu.1,fa.1,ff.1,fi.1,fj.1,fo.1,fy.1,ga.1,gd.1,gl.1,gn.1,gu.1,gv.1,ha.1,he.1,hi.1,ho,hr.1,ht,hu,hz,ia.1,id.1,ie.1,ig.1,ii,ik,io.1,is.1,it.1,iu,jv.1,kg,ki,kj,kl,km.1,kn.1,kr,ks.1,ku,kv,kw,la.1,lb.1,lg.1,li.1,ln,lo.1,lt.1,lu,lv.1,mh,mi.1,mk.1,mn.1,ms.1,mt.1,my.1,na,nb,nd.1,ne.1,ng,nn,nr.1,nv,ny.1,oc,oj,om.1,or.1,os,pa.1,pi.1,pl.1,ps.1,pt.1,qu.1,rm,rn.1,ro.1,ru.1,rw.1,sa.1,sc,sd.1,se,sg,si.1,sk.1,sl.1,sm.1,sn.1,so.1,sq.1,sr.1,ss.1,st.1,su.1,sv.1,sw.1,ta.1,te.1,tg.1,th.1,ti.1,tk,tl.1,tn.1,to.1,tr.1,ts.1,tt,tw,ty.1,ug,uk.1,ur.1,uz.1,ve.1,vi.1,vo.1,wa,wo.1,xh.1,yi,yo.1,za,zu.1
language_names.en,EN language name, English,英语,अंग्रेज़ी,Inglés,Anglais,الإنكليزية,ইংরাজি,Inglês,Английский,Inggris,انگريزی,Englisch,英語,Kiingereza,इंग्रजी,ఇంగ్లీష్,ஆங்கிலம்,İngilizce,Tiếng Anh,Inglese,영어,અંગ્રેજી,انگلیسی,Angielski,Англійська,Engleză,Engels,Engelska,Engelsk,,,,,,,,ინგლისური,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
language_names.eo,EO language name, Esperanto,世界语,एस्पेरान्तो,Esperanto,Espéranto,إسبرانتو,এসপেরান্তো,Esperanto,Эсперанто,Bahasa esperanto,Esperanto,Esperanto,エスペラント,Kiesperanto,Esperanto,Esperanto,Esperanto,Esperanto,Tiếng etperantô,Esperanto,에스페란토,એસ્પેરાન્તો,اسپرانتو,Esperanto,Есперанто,Esperanto,Esperanto,Esperanto,Esperanto,,,,,,,,ესპერანტო,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
language_names.es,ES language name, Spanish,西班牙语,स्पैनिश,Español,Espagnol,الإسبانية,স্প্যানিশ,Espanhol,Испанский,Spanyol,سپينش,Spanisch,スペイン語,Kihispania,स्पॅनिश,స్పానిష్,ஸ்பானிஷ்,İspanyolca,Tiếng Tây Ban Nha,Spagnolo,스페인어,સ્પૅનિશ,اسپانیایی,Hiszpański,Іспанська,Spaniolă,Spaans,Spanska,Spansk,,,,,,,,ესპანური,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
language_names.et,ET language name, Estonian,爱沙尼亚语,एस्टोनियाई,Estonio,Estonien,الإستونية,এস্তোনিয়ান,Estoniano,Эстонский,Estonia,اسٹونين,Estnisch,エストニア語,Kiestonia,एस्टोनियन,ఎస్టోనియన్,எஸ்டோனியன்,Estonca,Estonia,Estone,에스토니아어,ઇસ્ટોનિયન,استونیایی,Estoński,Естонська,Estonă,Estisch,Estniska,Estisk,,,,,,,,ესტონური,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
language_names.eu,EU language name, Basque,巴士克语,बास्क,Vasco,Basque,الباسكية,বাস্ক,Basco,Баскский,Basque,باسيق,Baskisch,バスク語,Kibaski,बास्क,బాస్క్,பாஸ்க்,Bask dili,Basque,Basco,바스크어,બેસ્ક,باسک,Baskijski,Баскська,Bască,Baskisch,Baskiska,Baskisk,,,,,,,,ბასკური,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
language_names.fa,FA language name, Persian,波斯语,फ़ारसी,Persa,Perse,فارسي,পারসিক,Persa,Персидский,Farsi,فارسی,Persisch,ペルシャ語,Kipersia,पर्शियन,పర్షియన్,பார்ஸி,Farsça,Tiếng Ba Tư,Farsi,페르시아어,પર્સિયન,فارسی,Perski,Перська,Persană,Perzisch,Persiska,Persisk,,,,,,,,სპარსული,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
language_names.ff,FF language name, Fulah,富拉,फुलाह,Fulah,Peul,فولاه,ফুলাহ,Fulah,Фулах,Fulah,فلاح,Ful,フラ,Fulah,फुलाह,Fulah,ஃபுல்லா,Fulah Belediyesi,Fulah,Fulah,풀라,ફુલાહ,فولاه,Księga Fulah,Фула,Fulah,Fulah,Fulah (Fulah),Fulah,,,,,,,,ფულა,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
language_names.fi,FI language name, Finnish,芬兰语,फ़िनिश,Finlandés,Finnois,الفنلندية,ফিনিশ,Finlandês,Финский,Finlandia,فنش,Finnisch,フィンランド語,Kifinishi,फिन्निश,ఫిన్నిష్,பின்னிஷ்,Fince,Tiếng Phần-lan,Finlandese,핀란드어,ફિનિશ,فنلاندی,Fiński,Фінська,Finlandeză,Fins,Finska,Finsk,,,,,,,,ფინური,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
language_names.fj,FJ language name, Fijian,斐济语,फ़िजी,Fiyiano,Fidjien,فيجي,ফিজিয়ান,Fijiano,Фиджи,Fiji,فجیان,Fidschianisch,フィジー語,Fiji,फिजीयन,ఫిజియన్,பிஜியன்,Fiji,Tiếng Fiji,Figiano,피지어,ફિજીયાન,فیجی,Fijian,Фіджійська,Fijian,Fijisch,Fijianska,Fijisk,,,,,,,,ფიჯიური,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
language_names.fo,FO language name, Faroese,法罗语,फ़ेरोसे,Feroés,Féringien,الفياروسية,ফারোসে,Faroês,Фарерский,Faroese,فارویس,Färöisch,フェロー語,Kifaroese,फॅरोईझ,ఫారోయీస్,பரோஸி,Faroe dili,Tiếng Faroe,Faeroese,페로어,ફેરોસ,فارویی,Farerski,Фарерська,Feroeză,Faeröers,Färöiska,Færøsk,,,,,,,,ფარერული,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
language_names.fr,FR language name, French,法语,फ़्रेंच,Francés,Français,الفرنسية,ফরাসী,Francês,Французский,Prancis,فرنچ,Französisch,フランス語,Kifaransa,फ्रेंच,ఫ్రెంచ్,பிரெஞ்சு,Fransızca,Pháp,Francese,프랑스어,ફ્રેન્ચ,فرانسوی,Francuski,Французька,Franceză,Frans,Franska,Fransk,,,,,,,,ფრანგული,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
language_names.fy,FY language name, Western Frisian,西弗里斯兰语,पश्चिमी पश्चिमी,Frisón occidental,Frison,الفريزية الغربية,পশ্চিম ফ্রিজীয়,Frísio Ocidental,Западнофризский,Frisia Barat,مغربی فریسیان,Westfriesisch,西フリジア語,Kifrisia cha Magharibi,वेस्टर्न फ्रिशियन,పశ్చిమ ఫ్రిసియన్,வெஸ்டர்ன் பிரிசியன்,Batı Frizce,Tây Frisia,Frisone occidentale,서부 프리지아어,વેસ્ટર્ન ફ્રિસિયન,فریزی غربی,Zachodniofryzyjski,Західнофризька,Frizianul de Vest,West-Fries,Västfrisiska,Vestfrisisk,,,,,,,,დასავლეთ ფრიზიანი,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
language_names.ga,GA language name, Irish,爱尔兰语,आयरिश,Irlandés,Irlandais,الأيرلندية,আইরিশ,Irlandês,Ирландский,Irlandia,آئرش,Irisch,アイルランド語,Kiairishi,आयरिश,ఐరిష్,ஐரிஷ்,İrlanda dili,Ailen,Irlandese,아일랜드어,આઇરિશ,ایرلندی,Irlandzki,Ірландська,Irlandeză,Iers,Irländska,Irsk,,,,,,,,ირლანდიური,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
language_names.gd,GD language name, Scottish Gaelic,苏格兰盖尔语,स्कॉटिश गेलिक,Gaélico escocés,Gaélique écossais,الغيلية الاسكتلندية,স্কটিশ গ্যালিক,Gaélico escocês,Шотландский,Gaelik Skotlandia,سکاٹش گیلک,Schottisch-Gälisch,スコットランド・ゲール語,Gaelic ya Uskoti,स्कॉटिश गेलिक,స్కాటిష్ గేలిక్,ஸ்காட்டிஷ் கேலிக்,İskoçça,Tiếng Gaelic Scotland,Gaelico scozzese,스코틀랜드 게일어,સ્કોટિશ ગેલિક,اسکاتلندی گالیک,Język szkocki gaelicki,Шотландська гельська,Limba scoțiană,Schots-Gaelisch,Skotsk gäliska,Skotsk gælisk,,,,,,,,შოტლანდიური გაელიჩი,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
language_names.gl,GL language name, Galician,加利西亚语,गैलिशियन,Gallego,Galicien,الغاليشية,গ্যালিশীয়,Galego,Галисийский,Galician,گالاکيئن,Galizisch,ガリシア語,Kigalishia,गॅलिसियन,గెలిషియన్,கேலிஷியன்,Galiçya lehçesi,Galician,Galiziano,갈리시아어,ગેલિશિયન,گالیسیایی,Galicyjski,Галісійська,Galiciană,Galicisch,Galiciska,Galisisk,,,,,,,,გალისიური,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
language_names.gn,GN language name, Guarani,瓜拉尼语,गुआरानी,Guaraní,Guarani,الجواراني,গুয়ারানি,Guarani,Гуарани,Guarani,گوارانی,Guaraní,グアラニ,Guarani,ग्वाराणी,Guarani,குவாரானி,Guarani,Guarani,Guarani,과라니어,ગૌરાની,گوارانی,Guarani,Гуарані,Guarani,Guarani,Guarani,Guarani,,,,,,,,გუარანი,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
language_names.gu,GU language name, Gujarati,古吉拉特语,गुजराती,Gujarati,Gujarâtî,الجوجاراتية,গুজরাতি,Guzerate,Гуджарати,Gujarat,گجراتی,Gujarati,グジャラート語,Kigujarati,गुजराती,గుజరాతీ,குஜராத்தி,Gucerat dili,Gujarati,Gujarati,구자라트어,ગુજરાતી,گجراتی,Gudżarati,Гуджараті,Gujarati,Gujarati,Gujarati,Gujarati,,,,,,,,გუჯარატი,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
language_names.gv,GV language name, Manx,马恩语,मानद्वीप,Manés,Mannois,مانكس,ম্যাঙ্কস,Manx,Мэнский,Manx,Manx,Manx,マンクス,Manx,मॅन्क्स,మాంక్స్,மான்க்ஸ்,Manx,Manx,Mannese,맹크스,Manx,مانکس,Manx,Менська,Lire sterline,Manx,Manx,Manx,,,,,,,,მანქსი,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
language_names.ha,HA language name, Hausa,豪撒语,हौसा,Hausa,Haoussa,الهوسا,হাউসা,Haúça,Хауса,Hausa,Hausa,Hausa,ハウサ語,Kihausa,हौसा,Hausa,ஹௌசா,Hausa,Hausa,Hausa,하우사어,હાઉસા,هاوسا,Hausa,Хауса,Hausa,Hausa,Hausa,Islandsk,,,,,,,,ჰაუზა,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
language_names.he,HE language name, Hebrew,希伯来语,हिब्रू,Hebreo,Hébreu,العبرية,হিব্রু,Hebraico,Иврит,Ibrani,اسرائيلی,Hebräisch,ヘブライ語,Kiebrania,यहुदी भाषा,హిబ్రూ,எபிரேய,İbranice,Tiếng Do Thái,Ebraico,히브리어,હિબ્રૂ,عبری,Hebrajski,Іврит,Ebraică,Hebreeuws,Hebreiska,Hebraisk,,,,,,,,ებრაული,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
language_names.hi,HI language name, Hindi,印地语,हिंदी,Hindi,Hindi,الهندية,হিন্দি,Hindi,Хинди,Hindi,ہندی,Hindi,ヒンディー語,Kihindi,हिंदी,హిందీ,இந்தி,Hintçe,Tiếng Hin-đi,Hindi,힌디어,હિંદી,هندی,Hindi,Хінді,Hindi,Hindi,Hindi,Hindi,,,,,,,,ჰინდი,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
language_names.ho,HO language name, Hiri Motu,希里莫图,हिरी मोटू,Hiri Motu,Hiri Motu,هيري موتو,হিরি মোটু,Hiri Motu,Хири Моту,Hiri Motu,ہیری موٹو,Hiri Motu,ヒリ・モツ,Hiri Motu,हिरी मोटू,హిరి మోటు,ஹிரி மோட்டு,Hiri Motu,Hiri Motu,Hiri Motu,히리 모투,હીરી મોટુ,هیری موتو,Hiri Motu,Хірі Моту,Hiri Motu,Hiri Motu,Hiri Motu,Hiri Motu,,,,,,,,ჰირაი მოტუ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
language_names.hr,HR language name, Croatian,克罗地亚语,क्रोएशियाई,Croata,Croate,الكرواتية,ক্রোয়েশীয়,Croata,Хорватский,Kroasia,کروٹيئن,Kroatisch,クロアチア語,Kikroashia,क्रोएशियन,క్రొయేషియన్,குரோஷியன்,Hırvatça,Tiếng Cro-xi-an,Croato,크로아티아어,ક્રોએશિયન,کرواتی,Chorwacki,Хорватська,Croată,Kroatisch,Kroatiska,Kroatisk,,,,,,,,ხორვატული,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
language_names.ht,HT language name, Haitian,海地人,हाईटियन,Haitiano,Haïtien,هايتي,হাইতিয়ান,Haitiano,Гаитянский,Haiti,ہیتی,Haitianisch,ハイチ人,Kihaiti,हैतीयन,హైతియన్,ஹைட்டியன்,Haitili,Haiti,Haitiano,아이티 크리올 어,હૈતીઅન,هائیتی,Haitański,Гаїтянська,Haitiană,Haïtiaans,Haitisk,Haitiansk,,,,,,,,დონჰუა,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
language_names.hu,HU language name, Hungarian,匈牙利语,हंगेरियन,Húngaro,Hongrois,المجرية,হাংগেরীয়,Húngaro,Венгерский,Hongaria,ہنگرين,Ungarisch,ハンガリー語,Kihangaria,हंगेरियन,హంగేరియన్,ஹங்கேரியன்,Macarca,Tiếng Hung-ga-ri,Ungherese,헝가리어,હંગેરીયન,مجارستانی,Węgierski,Угорська,Maghiară,Hongaars,Ungerska,Ungarsk,,,,,,,,უნგრული,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
language_names.hy,HY language name, Armenian,亚美尼亚语,आर्मीनियाई,Armenio,Arménien,الأرمينية,আর্মেনীয়,Armênio,Армянский,Armenia,ارمنين,Armenisch,アルメニア語,Kiarmenia,आर्मेनियन,ఆర్మేనియన్,அர்மீனியன்,Ermenice,Tiếng Ac-mê-ni,Armeno,아르메니아어,આર્મેનિયન,ارمنی,Armeński,Вірменська,Armeană,Armeens,Armeniska,Armensk,,,,,,,,სომხური,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
language_names.hz,HZ language name, Herero,赫雷罗语,हरेरो,Herero,Herero,هيريرو,হেরেরো,Herero,Гереро,Herero,ہیرو,Herero,ヘレロ,Herero,Herero,Herro,இதரேரோ,Ertuğrul,Herero,Herero,헤레로,હેહેરેરો,هررو,Herero,Гереро,Herero,Herero,Herero Herero,Herero,,,,,,,,ჰერერო,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
